profile_name, job, date_completed
Dan,Empty indoor rubbish,2023_12_12_22_15_43
Dan,Empty indoor recycling,2023_12_12_22_15_46
Toby,Empty dishwasher,2023_12_13_00_21_10
Jackson,Empty indoor veggie bin,2023_12_13_06_04_05
Olaf,Mow lawns,2023_12_14_00_44_06
Dan,Vacuum wood areas,2023_12_14_03_40_11
Brie,Empty dishwasher,2023_12_14_08_31_49
Toby,Empty indoor recycling,2023_12_14_21_40_49
Kelsey,Empty indoor rubbish,2023_12_15_21_22_18
Kelsey,Empty indoor recycling,2023_12_15_21_22_23
Brie,Empty dishwasher,2023_12_15_23_52_06
Brie,Empty indoor veggie bin,2023_12_16_06_09_16
Kelsey,Empty dishwasher,2023_12_17_08_26_10
Olaf,Clean Group towels,2023_12_17_22_05_41
Jackson,Wheelie bins,2023_12_17_22_16_53
Toby,Empty indoor veggie bin,2023_12_18_21_39_05
Toby,Empty dishwasher,2023_12_18_21_39_10
Jackson,Empty indoor recycling,2023_12_18_23_18_28
Jackson,Empty indoor rubbish,2023_12_18_23_18_30
Jackson,Deep clean rubbish bins,2023_12_19_04_47_53
Toby,Clean Fireplace ,2023_12_19_22_37_20
Toby,Empty dishwasher,2023_12_19_22_37_46
Dan,Empty indoor recycling,2023_12_25_08_34_51
Dan,Wheelie bins,2023_12_25_08_34_58
Brie,Vacuum wood areas,2023_12_25_09_09_21
Brie,Deep clean kitchen,2023_12_27_22_48_56
Dan,Mow lawns,2023_12_28_02_53_25
Jackson,Empty dishwasher,2024_01_08_19_30_44
Dan,Clean sinks and toilet,2024_01_08_23_59_50
Kelsey,Kill all driveway weeds,2024_01_09_00_07_35
Dan,Vacuum carpet areas    ,2024_01_09_02_01_50
Dan,Vacuum wood areas,2024_01_09_02_01_56
Brie,Clean shower,2024_01_09_02_28_27
Toby,Mow lawns,2024_01_09_04_29_11
Brie,Clean Group towels,2024_01_09_05_15_48
Brie,Empty indoor recycling,2024_01_09_21_35_15
Brie,Empty indoor rubbish,2024_01_09_21_35_20
Kelsey,Empty dishwasher,2024_01_10_07_08_28
Toby,Wheelie bins,2024_01_10_12_37_27
Toby,Mega weed clean (toby),2024_01_10_12_37_34
Olaf,Empty indoor veggie bin,2024_01_10_19_17_49
Jackson,Empty indoor recycling,2024_01_10_20_07_11
Brie,Empty dishwasher,2024_01_11_04_17_45
Olaf,Empty indoor recycling,2024_01_11_21_14_04
Olaf,Empty dishwasher,2024_01_12_05_24_34
Brie,Empty indoor recycling,2024_01_12_23_56_32
Brie,Empty indoor rubbish,2024_01_12_23_56_37
Jackson,Empty dishwasher,2024_01_14_02_20_40
Olaf,Empty indoor recycling,2024_01_14_06_32_54
Kelsey,Empty indoor veggie bin,2024_01_17_13_47_03
